,0
131,1210_1720_ZI018_B率 loss(B% loss)
132,1210_1720_ZI022_IR1電壓(IR1 voltage)
133,1210_1720_ZI024_IR1時間(IR1 soak time(ms))
134,1210_1720_ZI025_IR2電壓(IR2 voltage)
135,1210_1720_ZI027_IR2時間(IR2 soak time(ms))
136,1210_1810_ZI004_NPO-narrow tolerance & Cap. range (<=10pF) 
137,1210_1810_ZI062_HALT確認異常(<1hr)
138,1210_1810_ZI063_HALT確認異常(10min~1hr)
139,1210_1810_ZI064_HALT確認異常(<10min)
140,1210_1810_ZI067_HALT確認異常(24hr&48hr)
141,slurry_D10_TARGET_VALUE
142,slurry_D10_ORG_TARGET_VALUE
143,slurry_D50_TARGET_VALUE
144,slurry_D50_ORG_TARGET_VALUE
145,slurry_D90_TARGET_VALUE
146,slurry_D90_ORG_TARGET_VALUE
147,slurry_D99_TARGET_VALUE
148,slurry_D99_ORG_TARGET_VALUE
149,slip_D10_TARGET_VALUE
150,slip_D10_ORG_TARGET_VALUE
151,slip_D50_TARGET_VALUE
152,slip_D50_ORG_TARGET_VALUE
153,slip_D90_TARGET_VALUE
154,slip_D90_ORG_TARGET_VALUE
155,slip_D99_TARGET_VALUE
156,slip_D99_ORG_TARGET_VALUE
157,1PASS_D50
158,2PASS_D50
159,3PASS_D50
160,4PASS_D50
161,5PASS_D50
162,6PASS_D50
163,7PASS_D50
164,Dopant start milling time微量分散開始時間
165,1Pass Milling Blade Time
166,2Pass Milling Blade Time
167,3Pass Milling Blade Time
168,4Pass Milling Blade Time
169,5Pass Milling Blade Time
170,6Pass Milling Blade Time
171,7Pass Milling Blade Time
172,Thermal_Ring
